iter        J                  ΔJ                   |d|             α       
iter        J                  ΔJ                   |d|             α       
-----------------------------------------------------------------------------
251   1005.5667965540155    0.47469665674073863   0.988032385816851    1.0 
252   1005.0819695535005    0.4860880110734193   2.2509873335753334    1.0 
253   1004.6205647835367    0.4124574143306518   0.9336185189881265    1.0 
254   1004.1958225344164    0.45055082170953614   0.8435232281165709    1.0 
255   1003.7322204989013    0.44511577509307554   0.9004372714854842    1.0 
256   1003.2767350465723    0.4730568643446274   0.9053495059671391    1.0 
257   1002.7945411225445    0.5144070380307334   1.0355277930729931    1.0 
258   1002.2753901601649    1.732937107624256   8.792540952971313    1.0 
259   1001.0861091649348    0.4992232402280896   1.0140811276909043    1.0 
260   1000.6022988020527    1.6290548630825414   2.9752601497945945    1.0 
iter        J                  ΔJ                   |d|             α       
-----------------------------------------------------------------------------
261   999.2203586233938    0.6008700524732035   1.0811650396955323    1.0 
262   998.6559502542891    0.44613225603532497   0.989981978947761    1.0 
263   998.2029686368604    0.5486634756630567   1.0842492330182116    1.0 
264   997.6489935942387    0.5175072914218145   0.9824656360904083    1.0 
265   997.1261935026164    1.2038247396902906   7.866180244417852    1.0 
266   996.3029342801785    0.435122788249883   0.8870374981507291    1.0 
267   995.8687404106568    0.42535431630519466   0.8108180423096693    1.0 
268   995.4353356525571    0.5176382157653195   1.2641191185407858    1.0 
269   994.9381245133154    1.6399531766667332   2.9237702850996627    1.0 
270   993.5173019474903    0.5938999710734825   1.0074570124078883    1.0 
iter        J                  ΔJ                   |d|             α       
-----------------------------------------------------------------------------
271   992.9631610244119    0.5485614432363445   1.1043646392803972    1.0 
272   992.4062045975397    0.5017873691205134   1.0018642954794792    1.0 
273   991.8995294783697    1.2472310237617383   8.062010923463369    1.0 
274   991.0472453839069    0.43784091616994036   0.9299067793170351    1.0 
275   990.600315154774    0.5664007590074306   2.731162015405095    1.0 
276   990.0718079115602    0.47505261323858916   0.9056095264507246    1.0 
277   989.5834680338291    0.5082900415588988   0.9063062891683312    1.0 
278   989.0617747475363    0.4742304381576322   0.8968698325889307    1.0 
279   988.5803516512646    2.7884258400251727   11.172470290507272    1.0 
280   986.6903655491303    0.5850232181535879   1.5334009667468136    1.0 
iter        J                  ΔJ                   |d|             α       
-----------------------------------------------------------------------------
281   986.1505673888197    0.43013626027778146   1.0430537497759724    1.0 
282   985.7163763129938    0.6153367651878154   2.96995559279608    1.0 
283   985.1634639097813    0.5716237772480662   1.8068323266430695    1.0 
284   984.6027254635494    0.5012465340238992   0.9867650171889437    1.0 
285   984.0905633467014    0.5861052656466613   1.193240126153236    1.0 
286   983.4983854139826    0.5779945133577962   1.0872723815370262    1.0 
287   982.914032654317    1.4392189959589745   8.746677617919348    1.0 
288   981.935521376211    0.4670931091105723   1.034437035766669    1.0 
289   981.4608010211969    0.4508613625667958   0.9414073320061214    1.0 
290   980.9967192351829    0.6178167338578603   1.975538804798344    1.0 
iter        J                  ΔJ                   |d|             α       
-----------------------------------------------------------------------------
291   980.3884713341907    0.5696363319015435   1.5923843248371772    1.0 
292   979.8257685605876    0.5093951938649891   1.0262644945917383    1.0 
293   979.3136636844498    0.5546816981710372   1.0617889812397652    1.0 
294   978.75290287196    1.3946908361948873   8.509175509263741    1.0 
295   977.8030522050624    0.4909682814677628   0.9506221523052916    1.0 
296   977.3133323021226    0.4275206429742703   0.8795871476421816    1.0 
297   976.8746966817379    0.4890557997346926   0.7969775415998248    1.0 
298   976.3755214377012    1.1579427824047301   2.693623469445579    1.0 
299   975.3040670741651    0.5288344609464228   1.0597896671920055    1.0 
300   974.7786823729291    0.5882165995923809   1.081375833922088    1.0 
iter        J                  ΔJ                   |d|             α       
-----------------------------------------------------------------------------
